repository,language,selectedfiles,nummult02,nummult03,nummult04,nummult05,nummult06,nummult07,nummult08,nummult09
jadejs/jade,JavaScript,305,153,149,149,145,139,127,102,15
janl/mustache.js,JavaScript,122,49,49,49,49,48,47,45,31
jashkenas/backbone,JavaScript,18,11,11,10,9,8,5,3,1
jekyll/jekyll,Ruby,159,116,115,112,107,95,71,58,22
jnicklas/capybara,Ruby,151,115,113,106,97,85,67,53,18
joomla/joomla-cms,PHP,2963,2920,2918,2912,2893,2835,2600,1983,889
jquery/jquery,JavaScript,182,150,147,146,140,133,112,77,32
jquery/jquery-ui,JavaScript,490,478,476,465,454,407,340,258,131
jrburke/requirejs,PHP,613,69,69,68,68,68,68,66,28
justinfrench/formtastic,Ruby,160,124,122,112,92,71,57,42,11
kivy/kivy,Python,321,300,299,293,274,249,192,131,64
koush/ion,Java,115,15,13,10,6,6,3,0,0
kriswallsmith/assetic,PHP,233,178,171,152,116,81,61,38,13
less/less.js,JavaScript,372,199,196,191,176,157,135,109,35
libgdx/libgdx,Java,3349,2844,2837,2805,2733,2536,2192,1835,499
mailpile/Mailpile,Python,320,258,235,201,170,137,85,60,14
mbostock/d3,JavaScript,512,279,274,255,205,161,105,76,31
meskyanichi/backup,Ruby,202,141,139,139,139,132,116,76,35
meteor/meteor,JavaScript,657,461,453,446,427,393,320,212,103
mitchellh/vagrant,Ruby,937,520,499,462,409,344,239,166,28
mitsuhiko/flask,Python,60,57,55,49,43,36,30,16,9
moment/moment,JavaScript,219,200,200,200,200,192,178,160,101
mongoid/mongoid,Ruby,691,388,361,323,268,202,119,87,15
mozilla/pdf.js,JavaScript,157,128,128,126,123,112,86,51,20
mrdoob/three.js,JavaScript,411,243,236,217,187,149,114,68,26
nate-parrott/Flashlight,Python,776,77,77,77,76,68,60,51,11
netty/netty,Java,1594,1204,1164,1031,931,869,717,538,165
nicolasgramlich/AndEngine,Java,599,364,360,356,346,331,306,246,131
odoo/odoo,Python,2384,1968,1940,1908,1844,1751,1550,1135,355
omab/django-social-auth,Python,102,87,84,79,72,65,54,43,24
openframeworks/openFrameworks,C-CPP,2010,1546,1532,1510,1473,1426,1356,1230,193
paulasmuth/fnordmetric,C-CPP,425,63,49,39,26,17,7,2,2
phacility/phabricator,PHP,3802,2957,2942,2893,2776,2528,2004,1394,315
php/php-src,C-CPP,15472,10560,10540,10489,10399,10192,9302,7801,2351
plataformatec/devise,Ruby,227,201,195,184,175,149,120,72,24
powerline/powerline,Python,190,117,116,115,111,108,95,77,34
prawnpdf/prawn,Ruby,194,184,182,178,170,152,114,52,20
puphpet/puphpet,PHP,307,125,112,98,88,81,73,64,8
puppetlabs/puppet,Ruby,2208,1845,1831,1806,1758,1647,1445,1087,364
pydata/pandas,Python,417,323,307,283,249,219,164,109,34
rails/rails,Ruby,2320,1745,1742,1720,1657,1550,1369,932,300
ratchetphp/Ratchet,PHP,89,79,74,65,51,38,13,4,0
resque/resque,Ruby,77,72,69,66,64,61,50,31,7
rg3/youtube-dl,Python,546,448,443,441,429,402,310,216,71
ruby/ruby,Ruby,3484,2556,2526,2437,2258,1993,1407,834,184
saltstack/salt,Python,1267,1147,1132,1106,1056,964,764,518,178
sampsyo/beets,Python,131,122,114,107,94,81,61,41,26
sandstorm-io/capnproto,C-CPP,229,168,140,115,83,55,20,12,2
sass/sass,Ruby,313,229,226,215,198,174,124,85,32
scikit-learn/scikit-learn,C-CPP,441,380,367,352,319,268,209,135,62
sebastianbergmann/phpunit,PHP,393,259,205,161,146,138,122,109,26
sferik/twitter,Ruby,162,89,66,41,29,22,17,11,8
silexphp/Silex,PHP,105,82,81,79,75,68,52,25,4
sparklemotion/nokogiri,Java,322,226,219,210,182,149,81,52,17
spotify/luigi,Python,140,132,132,132,129,121,107,72,12
spring-projects/spring-framework,Java,5846,5546,5541,5519,5457,5245,4675,3566,1688
sstephenson/sprockets,Ruby,106,32,22,16,12,8,3,1,1
strongloop/express,JavaScript,104,82,80,79,73,70,56,31,9
substack/node-browserify,JavaScript,289,50,48,48,44,38,34,31,6
thinkaurelius/titan,Java,1361,652,639,614,547,454,332,241,109
thoughtbot/factory_girl,Ruby,137,95,91,89,79,76,66,51,35
thoughtbot/paperclip,Ruby,156,112,112,109,102,90,63,40,9
thumbor/thumbor,Python,182,119,119,118,109,94,66,46,11
torvalds/linux,C-CPP,41254,34341,33928,33149,31934,29756,26011,18644,6044
v8/v8,C-CPP,3749,2073,2068,2053,2009,1922,1711,1389,325
webscalesql/webscalesql-5.6,C-CPP,4177,3817,3804,3781,3720,3621,3304,2638,1318
wp-cli/wp-cli,PHP,178,120,111,102,94,79,61,31,6
xetorthio/jedis,Java,134,124,124,122,121,112,93,61,20
yiisoft/yii2,PHP,1195,1069,1054,1014,902,764,552,305,111
